surface	gold_lemma	gold_asp	gold_ten	gold_mood	gold_gen	gold_num	gold_per	vtype	confidence	cpos	failure_type	n_predicted	pred_lemmas	file	line_no
था	था		past		M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	233
होकर	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	243
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	245
तोड़	तोड					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	251
पूछते	पूछ	imperfective			M	P	3	participle	low	VM	wrong_features	2	पूछ|पूछत	file-andhe_ki_lathi-1507111038.dat	265
बैठे	बैठ	perfective				S	2	participle	low	VM	wrong_features	1	बैठ	file-andhe_ki_lathi-1507111038.dat	269
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	279
मिल	मिल				M	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	285
जानते	जान	imperfective			M	S	2	participle	low	VM	wrong_features	2	जान|जानत	file-andhe_ki_lathi-1507111038.dat	289
फेंक	फेंक					S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	291
आयी	आ	perfective			F	P		participle	low	VM	wrong_lemma	1	आय	file-andhe_ki_lathi-1507111038.dat	294
तोड़	तोड					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	310
पा	पा				F	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	319
भोग	भोग					S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	328
हड़प	हडप							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	333
बने	बन	perfective				S		participle	low	VM	wrong_features	1	बन	file-andhe_ki_lathi-1507111038.dat	334
भोग	भोग					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	337
सिधार	सिधार					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	352
जी	जी				M	S	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	358
आ	आ				F	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	365
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	372
खा	खा				M	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	379
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	384
कहा	कह	perfective			M	S	3	participle	low	VM	wrong_features	1	कह	file-andhe_ki_lathi-1507111038.dat	391
खाय	खा			subjunctive		S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	399
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	406
लगाता	लगा	imperfective			M	S	1	participle	low	VM	wrong_features	2	लगा|लगात	file-andhe_ki_lathi-1507111038.dat	415
लेकर	ले							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	427
देते	दे	imperfective			M	S	2	participle	low	VM	wrong_features	2	दे|देत	file-andhe_ki_lathi-1507111038.dat	429
हो	हो				M	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	440
हड़पकर	हडप							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	444
भोग	भोग				M	S	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	454
जानकर	जान							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	471
खुली	खुल	perfective			F	P		participle	low	VM	wrong_features	1	खुल	file-andhe_ki_lathi-1507111038.dat	474
देखो	देख			imperative		S	2	finite	low	VM	wrong_features	1	देख	file-andhe_ki_lathi-1507111038.dat	480
था	था		past		M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	485
देगा	दे		future		M	S	3	participle	low	VM	wrong_lemma	1	देग	file-andhe_ki_lathi-1507111038.dat	490
काट	काट							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	496
बन	बन					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	499
भटक	भटक					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	504
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	511
आ	आ				M	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	517
आकर	आ							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	526
ढकेल	ढकेल					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	536
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	543
छीन	छीन							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	553
बना	बना				M	S	3	participle	low	VM	wrong_lemma	1	बन	file-andhe_ki_lathi-1507111038.dat	557
छिन	छिन				F	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	564
बनेगा	बन		future		M	S	3	finite	medium	VM	wrong_features	2	बन|बनेग	file-andhe_ki_lathi-1507111038.dat	573
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	578
हो	हो				F	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	596
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	600
समझेंगे	समझ		future		M	P	3	finite	medium	VM	wrong_features	2	समझ|समझेंग	file-andhe_ki_lathi-1507111038.dat	605
छीन	छीन				F	S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	616
टपक	टपक				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	623
आ	आ					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	632
देखकर	देख							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	638
खिसक	खिसक					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	642
पोंछते	पोंछ	imperfective			M	S	3	participle	low	VM	wrong_features	2	पोंछ|पोंछत	file-andhe_ki_lathi-1507111038.dat	648
आ	आ					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	652
टूट	टूट					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	660
टूट	टूट				F	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	669
छीन	छीन							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	682
धकिया	धकिया					S	3	participle	medium	VM	wrong_lemma	4	धकी|धके|धकि|धकिय	file-andhe_ki_lathi-1507111038.dat	683
हो	हो				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	690
रोकर	रो							unknown	none	VAUX	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	693
बताने	बता					S	3	participle	low	VM	wrong_features	2	बता|बतान	file-andhe_ki_lathi-1507111038.dat	696
हैं	है		present			P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	705
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	709
पड़कर	पड							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	715
भूल	भूल				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	718
है	है		present			S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	722
पीकर	पी							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	726
रहा	रह	perfective			M	S	3	participle	low	VM	wrong_features	1	रह	file-andhe_ki_lathi-1507111038.dat	736
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	742
कमा	कमा							participle	low	VM	wrong_lemma	1	कम	file-andhe_ki_lathi-1507111038.dat	748
खा	खा				M	P	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	749
काटा	काट	perfective			M	S	3	participle	low	VM	wrong_features	1	काट	file-andhe_ki_lathi-1507111038.dat	757
देखो	देख			imperative		S	2	finite	low	VM	wrong_features	1	देख	file-andhe_ki_lathi-1507111038.dat	758
बैठे	बैठ	perfective			M	S	3	participle	low	VM	wrong_features	1	बैठ	file-andhe_ki_lathi-1507111038.dat	760
छीन	छीन							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	765
जा	जा							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	767
बसे	बस	perfective				S	2	participle	low	VM	wrong_features	1	बस	file-andhe_ki_lathi-1507111038.dat	768
करो	कर			imperative		S	2	finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	780
जानकर	जान							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	786
दुत्कार	दुत्कार				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	787
ठोंकते	ठोंक	imperfective			M	P	3	participle	low	VM	wrong_features	2	ठोंक|ठोंकत	file-andhe_ki_lathi-1507111038.dat	792
थे	था		past		M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	800
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	806
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	811
हूं	है		present			S	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	819
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	823
करवायी	कर	perfective			F	S		participle	low	VM	wrong_lemma	2	करवा|करवाय	file-andhe_ki_lathi-1507111038.dat	833
पहुंच	पहुंच					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	838
रह	रह					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	840
कोसो	कोस			imperative		S	2	finite	low	VM	wrong_features	1	कोस	file-andhe_ki_lathi-1507111038.dat	849
किया	कर	perfective			M	S	3	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	file-andhe_ki_lathi-1507111038.dat	856
था	था		past		M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	863
आ	आ					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	869
देखकर	देख							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	879
रह	रह					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	881
कर	कर							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	887
भागते	भाग	imperfective			M	S		participle	low	VM	wrong_features	2	भाग|भागत	file-andhe_ki_lathi-1507111038.dat	888
आया	आ	perfective			M	S		participle	low	VM	wrong_lemma	1	आय	file-andhe_ki_lathi-1507111038.dat	889
करते	कर	imperfective			M	S		participle	low	VM	wrong_features	2	कर|करत	file-andhe_ki_lathi-1507111038.dat	893
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	898
सुनते	सुन	imperfective			M	S		participle	low	VM	wrong_features	2	सुन|सुनत	file-andhe_ki_lathi-1507111038.dat	902
पोंछते	पोंछ	imperfective			M	S	3	participle	low	VM	wrong_features	2	पोंछ|पोंछत	file-andhe_ki_lathi-1507111038.dat	905
बोले	बोल	perfective			M	S	3	participle	low	VM	wrong_features	1	बोल	file-andhe_ki_lathi-1507111038.dat	906
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	910
आता	आ	imperfective			M	S		participle	low	VM	wrong_lemma	1	आत	file-andhe_ki_lathi-1507111038.dat	917
कह	कह				M	S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	924
टूट	टूट					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	931
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	947
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	965
हुआ	हो	perfective			M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	971
लुट	लुट					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	981
लुट	लुट				F	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	993
छुट	छुट				F	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	997
दिलवा	दिला					S	1	participle	low	VM	wrong_lemma	1	दिलव	file-andhe_ki_lathi-1507111038.dat	1002
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1012
दे	दे				M	S	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1026
बच	बच					S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1035
मिल	मिल					S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1040
करो	कर			imperative		S	2	finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	1045
हो	हो					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1048
हुई	हो	perfective			F	S		participle	low	VM	wrong_lemma	1	हु	file-andhe_ki_lathi-1507111038.dat	1051
देता	दे	imperfective			M	S	3	participle	low	VM	wrong_features	2	दे|देत	file-andhe_ki_lathi-1507111038.dat	1056
कहता	कह	imperfective			M	S	3	participle	low	VM	wrong_features	2	कह|कहत	file-andhe_ki_lathi-1507111038.dat	1058
चाहो	चाह			imperative		S	2	finite	low	VM	wrong_features	1	चाह	file-andhe_ki_lathi-1507111038.dat	1061
कर	कर					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1063
बिगाड़	बिगाड					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1068
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1073
दबा	दबा							participle	low	VM	wrong_lemma	1	दब	file-andhe_ki_lathi-1507111038.dat	1078
लटकाकर	लटका							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1082
मढ	मढ							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1087
करवायेंगे	कर		future		M	S	3	finite	medium	VM	wrong_lemma	3	करवा|करवाय|करवायेंग	file-andhe_ki_lathi-1507111038.dat	1097
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1107
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1111
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1114
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1120
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1124
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1129
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1137
हैं	है		present			P	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1143
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1147
करो	कर			imperative		S	2	finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	1152
बरतेगें	बरत		future		M	P	1	finite	low	VM	wrong_lemma	1	बरतेग	file-andhe_ki_lathi-1507111038.dat	1158
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1164
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1172
है	है		present			S	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1176
किया	कर	perfective			M	S	1	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	file-andhe_ki_lathi-1507111038.dat	1181
करवाकर	कर							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1191
हूं	है		present			S	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1202
आकर	आ							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1208
हड़प	हडप					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1211
दे	दे				M	P	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1219
हैं	है		present			P	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1232
रहते	रह	imperfective			M	P	3	participle	low	VM	wrong_features	2	रह|रहत	file-andhe_ki_lathi-1507111038.dat	1241
मिले	मिल	perfective			M	P	3	participle	low	VM	wrong_features	1	मिल	file-andhe_ki_lathi-1507111038.dat	1248
होगा	हो		future		M	S	3	participle	low	VM	wrong_lemma	1	होग	file-andhe_ki_lathi-1507111038.dat	1258
कर	कर							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1264
रह	रह					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1266
लगा	लगा					P	3	participle	low	VM	wrong_lemma	1	लग	file-andhe_ki_lathi-1507111038.dat	1273
बचा	बच	perfective			M	S	3	participle	low	VM	wrong_features	1	बच	file-andhe_ki_lathi-1507111038.dat	1279
लिखकर	लिख							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1285
आ	आ					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1286
करेंगी	कर		future		F	P	3	finite	medium	VM	wrong_features	2	कर|करेंग	file-andhe_ki_lathi-1507111038.dat	1299
मिल	मिल					S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1306
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1310
करने	कर					S	2	participle	low	VM	wrong_features	2	कर|करन	file-andhe_ki_lathi-1507111038.dat	1324
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1333
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1338
पहुंचाओगे	पहुंचा		future		M	S	2	finite	medium	VM	wrong_features	2	पहुंचा|पहुंचाओग	file-andhe_ki_lathi-1507111038.dat	1346
हैं	है		present			P	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1353
कर	कर					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1360
कर	कर					S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1375
बन	बन				M	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1380
कर	कर					P	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1387
मिल	मिल					S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1395
मिल	मिल					P	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1401
तरस	तरस				F	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1405
कह	कह				M	S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1412
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1419
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1423
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1429
खा	खा					P	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1433
कर	कर					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1440
आयेगें	आ		future		M	P	3	finite	low	VM	wrong_lemma	1	आयेग	file-andhe_ki_lathi-1507111038.dat	1448
आकर	आ							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1464
मरवाने	मर					S		participle	low	VM	wrong_lemma	2	मरवा|मरवान	file-andhe_ki_lathi-1507111038.dat	1471
बनवा	बना	perfective				S		participle	low	VM	wrong_lemma	1	बनव	file-andhe_ki_lathi-1507111038.dat	1473
बिठा	बिठा					S	2	participle	low	VM	wrong_lemma	1	बिठ	file-andhe_ki_lathi-1507111038.dat	1478
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1493
बोना	बो				M	S	3	participle	low	VM	wrong_features	2	बो|बोन	file-andhe_ki_lathi-1507111038.dat	1498
चाहते	चाह	imperfective			M	P	1	participle	low	VM	wrong_features	2	चाह|चाहत	file-andhe_ki_lathi-1507111038.dat	1506
चाहिये	चाहिये							finite	medium	VM	wrong_lemma	3	चाह|चाहि|चाहिय	file-andhe_ki_lathi-1507111038.dat	1512
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1517
देकर	दे							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1522
करो	कर			imperative		S	2	finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	1524
सुनते	सुन	imperfective			M	S		participle	low	VM	wrong_features	2	सुन|सुनत	file-andhe_ki_lathi-1507111038.dat	1529
उठे	उठ	perfective			M	S	3	participle	low	VM	wrong_features	1	उठ	file-andhe_ki_lathi-1507111038.dat	1531
लगाकर	लगा							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1535
रोने	रो					S	3	participle	low	VM	wrong_features	2	रो|रोन	file-andhe_ki_lathi-1507111038.dat	1536
रोते	रो	imperfective			M	S	2	participle	low	VM	wrong_features	2	रो|रोत	file-andhe_ki_lathi-1507111038.dat	1543
तोड़	तोड				F	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1558
किये	कर	perfective			M	S	2	irregular	high	VM	wrong_features	3	कर|कि|किय	file-andhe_ki_lathi-1507111038.dat	1566
देगें	दे		future		M	P	3	finite	low	VM	wrong_lemma	1	देग	file-andhe_ki_lathi-1507111038.dat	1571
करो	कर			imperative		S	2	finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	1583
होने	हो				F	S		participle	low	VM	wrong_features	2	हो|होन	file-doli_banaam_arthi.dat	3
थी	था		past		F	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	8
था	था		past		M	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	20
