word	paradigm_class	confidence	probability
कूँज	F3	predicted_low	0.6210
कूँड	F3	predicted_low	0.6059
कूट	F3	predicted_low	0.6476
कूपक	M2	predicted_low	0.6448
कूपमंडूक	F3	predicted_low	0.6105
कूपमम्डूक	F3	predicted_low	0.5651
कृप	F3	predicted_low	0.6400
कृपाचार्य	M2	predicted_low	0.5771
कृपीसुत	F3	predicted_low	0.6154
कृमिज	F3	predicted_low	0.6392
कृषक	M2	predicted_low	0.6423
कृषकवर्ग	M2	predicted_low	0.5971
कैथोलिक	F3	predicted_low	0.5561
कोकीनबाज़	F3	predicted_low	0.6467
कोठीवाल	F3	predicted_low	0.6469
कोहनूर	F3	predicted_low	0.6455
कोहान	M2	predicted_low	0.5589
कौवाल	F3	predicted_low	0.6310
क्राइस्ट	F3	predicted_low	0.5617
क्रिडांगन	M2	predicted_low	0.6000
क्वार	M2	predicted_low	0.6122
क्षुप	F3	predicted_low	0.5954
क्षौरिक	M2	predicted_low	0.5853
खंडपीठ	F3	predicted_low	0.6476
खंडर	M2	predicted_low	0.5973
खरौंट	F3	predicted_low	0.6307
खर्जूर	F3	predicted_low	0.6090
खातेदार	M2	predicted_low	0.5833
खालीपन	F3	predicted_low	0.5892
खींचातान	F3	predicted_low	0.6490
खूँट	F3	predicted_low	0.6478
खोद	M2	predicted_low	0.6153
गँठजोड	F3	predicted_low	0.6308
गँठबंधन	F3	predicted_low	0.5944
गंज	F3	predicted_low	0.5654
गजदंत	F3	predicted_low	0.6088
गटर	M2	predicted_low	0.6461
गठबंधन	F3	predicted_low	0.6093
गनगौर	F3	predicted_low	0.6388
गरूर	M2	predicted_low	0.6361
गल	F3	predicted_low	0.6406
गलगंड	F3	predicted_low	0.5809
गलहार	F3	predicted_low	0.5521
गांग	F3	predicted_low	0.6342
गिध	F3	predicted_low	0.6418
गिरदान	F3	predicted_low	0.6142
गिलोय	F3	predicted_low	0.5988
गुणक	F3	predicted_low	0.5851
गुण्यांक	F3	predicted_low	0.5542
गुम्मट	F3	predicted_low	0.6169
गुरुच	M2	predicted_low	0.5945
गुरूर	M2	predicted_low	0.5606
गुर्देल	M2	predicted_low	0.6232
गूंज	F3	predicted_low	0.6098
गूह	F3	predicted_low	0.6056
गृहप्रवेश	F3	predicted_low	0.6145
गेहुँअन	M2	predicted_low	0.6315
गॉगल्स	F3	predicted_low	0.5881
गोपाल	M2	predicted_low	0.6018
गौर	F3	predicted_low	0.6042
घसियारिन	F3	predicted_low	0.5548
घिसघिस	F3	predicted_low	0.5855
घुण	M2	predicted_low	0.6103
घुलन	F3	predicted_low	0.6285
घूँट	M2	predicted_low	0.5983
चंगेरिक	F3	predicted_low	0.5509
चंडीगढ	F3	predicted_low	0.5674
चक्रवात	M2	predicted_low	0.6386
चणक	M2	predicted_low	0.5874
चनक	F3	predicted_low	0.5625
चमर	M2	predicted_low	0.5874
चल	M2	predicted_low	0.6163
चवर्ग	M2	predicted_low	0.6383
चषक	M2	predicted_low	0.6472
चाँड	M2	predicted_low	0.6307
चिकट	F3	predicted_low	0.5559
चिकुर	M2	predicted_low	0.5922
चिनार	F3	predicted_low	0.5893
चिबुक	F3	predicted_low	0.6202
चिराग़	M2	predicted_low	0.6417
चिक़	F3	predicted_low	0.5845
चिड	M2	predicted_low	0.6187
चिडीमार	M2	predicted_low	0.6327
चिढ	F3	predicted_low	0.6151
चीपड	F3	predicted_low	0.6276
चुंगल	F3	predicted_low	0.5809
चुनन	F3	predicted_low	0.5865
चुनर	M2	predicted_low	0.5983
चुग़लीखोर	M2	predicted_low	0.6474
चूचुक	M2	predicted_low	0.6335
चैत्य	F3	predicted_low	0.6150
चॉक	F3	predicted_low	0.5994
चौंक	M2	predicted_low	0.5976
चौकस	M2	predicted_low	0.5853
चौपड	F3	predicted_low	0.6166
छगल	F3	predicted_low	0.5699
छछूंदर	M2	predicted_low	0.5901
छट	F3	predicted_low	0.5932
छन	F3	predicted_low	0.5974
छम	F3	predicted_low	0.5990
छमछम	F3	predicted_low	0.5990
छलाँग	F3	predicted_low	0.6271
छाँव	M2	predicted_low	0.6257
छाँह	F3	predicted_low	0.6136
छांगुर	M2	predicted_low	0.5523
छाक	F3	predicted_low	0.6302
छाज	F3	predicted_low	0.5794
छान	F3	predicted_low	0.5964
छिन	M2	predicted_low	0.6205
छुछुंदर	F3	predicted_low	0.5665
जतन	F3	predicted_low	0.6086
जनक	M2	predicted_low	0.5578
जननेन्द्रिय	M2	predicted_low	0.5782
जनमानस	M2	predicted_low	0.5751
जनेत	M2	predicted_low	0.6386
जनेन्द्रिय	M2	predicted_low	0.6382
जमराज	F3	predicted_low	0.5517
जरीब	M2	predicted_low	0.6416
जरूरत	M2	predicted_low	0.6054
जलद	F3	predicted_low	0.5978
जलयान	M2	predicted_low	0.5999
जलस्तंभ	M2	predicted_low	0.6216
जवाहर	M2	predicted_low	0.6240
जहेज	M2	predicted_low	0.5815
ज़हन	M2	predicted_low	0.5557
जांच	M2	predicted_low	0.6144
जाचक	M2	predicted_low	0.6023
जाजम	F3	predicted_low	0.6118
जात	F3	predicted_low	0.5773
जाप	M2	predicted_low	0.6208
जाफरान	F3	predicted_low	0.6008
जालंधर	M2	predicted_low	0.5915
जाफ़रान	F3	predicted_low	0.6087
जीन	M2	predicted_low	0.5723
जीसस	M2	predicted_low	0.6130
जुआर	F3	predicted_low	0.5985
जुगल	M2	predicted_low	0.5674
जुगाड	M2	predicted_low	0.6119
जुनून	M2	predicted_low	0.5638
जेहाद	M2	predicted_low	0.5861
जोग	M2	predicted_low	0.5910
जोजन	F3	predicted_low	0.6113
जोत	M2	predicted_low	0.5628
ज्योनार	M2	predicted_low	0.6127
ज्यौनार	F3	predicted_low	0.6362
जडाव	M2	predicted_low	0.6122
झुरसन	M2	predicted_low	0.5733
झुलसन	M2	predicted_low	0.6065
झूम	F3	predicted_low	0.5676
टपक	M2	predicted_low	0.6095
टसर	M2	predicted_low	0.5994
टाइफाइड	F3	predicted_low	0.6249
टान	F3	predicted_low	0.6062
टिकान	M2	predicted_low	0.5669
टिपटिप	F3	predicted_low	0.6204
टिप्पन	M2	predicted_low	0.5954
टेशन	F3	predicted_low	0.5915
टोंट	F3	predicted_low	0.5947
ट्यूबवेल	M2	predicted_low	0.5801
ट्रिगर	M2	predicted_low	0.6481
ट्रैफ़िक	F3	predicted_low	0.5693
ट्रैफिक	F3	predicted_low	0.5665
ठंढ	F3	predicted_low	0.5749
ठक	M2	predicted_low	0.6457
ठाठ	M2	predicted_low	0.5745
ठाठबाट	M2	predicted_low	0.5711
ठूँठ	M2	predicted_low	0.5762
ठेक	M2	predicted_low	0.6077
डाँड	F3	predicted_low	0.6114
डिंब	M2	predicted_low	0.6098
डिज़ाइनर	M2	predicted_low	0.6359
डिसंबर	M2	predicted_low	0.6365
डुंडुभ	F3	predicted_low	0.6215
डुप्लिकेटर	M2	predicted_low	0.5964
डोमिन	M2	predicted_low	0.6109
ड्रोण	M2	predicted_low	0.6129
ढारस	M2	predicted_low	0.6016
ढूँढ	F3	predicted_low	0.6343
ढूह	F3	predicted_low	0.5778
ढोर	M2	predicted_low	0.5555
तंद्रालस	M2	predicted_low	0.6102
तज	F3	predicted_low	0.5759
तबक़	F3	predicted_low	0.6231
तलागार	M2	predicted_low	0.5518
तवज्जोह	M2	predicted_low	0.6323
तहरीर	F3	predicted_low	0.5692
ताउन	M2	predicted_low	0.6007
तालिकाकार	F3	predicted_low	0.5786
तितिर	F3	predicted_low	0.5566
तीरथ	M2	predicted_low	0.5853
तीर्थंकर	F3	predicted_low	0.6417
तुअर	M2	predicted_low	0.5775
तेज़	F3	predicted_low	0.5533
त्रिवार्षिक	F3	predicted_low	0.6076
तडित	M2	predicted_low	0.5809
थलयान	F3	predicted_low	0.6418
थौंद	F3	predicted_low	0.6054
दंडविधानसंग्रह	M2	predicted_low	0.5795
दंडविधिसंग्रह	M2	predicted_low	0.5824
दतवन	F3	predicted_low	0.6419
दरख्वास्त	M2	predicted_low	0.5522
दलबदल	M2	predicted_low	0.6225
दहेज़	F3	predicted_low	0.6112
दाँव	F3	predicted_low	0.5756
दाँवपेंच	F3	predicted_low	0.6395
दावानल	F3	predicted_low	0.6461
दिक्पाल	F3	predicted_low	0.6245
दिग्राज	F3	predicted_low	0.5879
दिठवन	F3	predicted_low	0.5557
दिनेश	M2	predicted_low	0.5844
दुंब	F3	predicted_low	0.6174
दुर्गपाल	M2	predicted_low	0.6261
दुवार	F3	predicted_low	0.5782
दूतक	F3	predicted_low	0.6271
देर	F3	predicted_low	0.6348
देवकक्ष	M2	predicted_low	0.6422
देवगृह	F3	predicted_low	0.6031
देवठान	F3	predicted_low	0.5517
दौरान	F3	predicted_low	0.5862
द्रोण	M2	predicted_low	0.5520
द्वार-द्वार	M2	predicted_low	0.6060
धधक	F3	predicted_low	0.5602
धनंतर	F3	predicted_low	0.6007
धनोपार्जन	M2	predicted_low	0.5810
धरतीपकड	F3	predicted_low	0.6279
धर्मादेश	F3	predicted_low	0.6435
धामक	F3	predicted_low	0.6178
धृतराष्ट्र	M2	predicted_low	0.5885
धोबीघाट	F3	predicted_low	0.5596
नकाब	F3	predicted_low	0.6322
नज़रअंदाज़	F3	predicted_low	0.6063
नरियल	F3	predicted_low	0.6399
नवजातक	F3	predicted_low	0.5902
नवम्बर	F3	predicted_low	0.6005
नवरतन	M2	predicted_low	0.6238
नह	F3	predicted_low	0.6150
नागयज्ञ	F3	predicted_low	0.5774
नागरंग	F3	predicted_low	0.6357
नाट्यांक	F3	predicted_low	0.5800
नादान	M2	predicted_low	0.6356
नानिहाल	M2	predicted_low	0.6092
नापन	M2	predicted_low	0.5936
नाबाद	F3	predicted_low	0.5569
नास	F3	predicted_low	0.6205
निकुंज	M2	predicted_low	0.5890
निदर्शक	M2	predicted_low	0.5733
निदर्शन	F3	predicted_low	0.6335
निबंध	F3	predicted_low	0.5603
निबंधन	M2	predicted_low	0.5576
निरस्तीकरण	M2	predicted_low	0.5573
निरालापन	F3	predicted_low	0.6462
निर्देशक	M2	predicted_low	0.5955
निर्विकार	F3	predicted_low	0.5668
निवृत्त	M2	predicted_low	0.5754
निवेशक	F3	predicted_low	0.6375
नोंक	F3	predicted_low	0.6006
नौघाट	M2	predicted_low	0.6156
नौरतन	F3	predicted_low	0.5904
न्यायक्षेत्र	M2	predicted_low	0.6234
न्यायाधीश	M2	predicted_low	0.5753
प	F3	predicted_low	0.6400
पंजाब	F3	predicted_low	0.6150
पंडुक	F3	predicted_low	0.6346
पच्चगव्य	F3	predicted_low	0.5998
पटावरण	M2	predicted_low	0.5744
पत्तरचूर	M2	predicted_low	0.6064
पत्रव्यवहार	M2	predicted_low	0.6221
पदविज्ञान	M2	predicted_low	0.5943
पदार्थवाद	M2	predicted_low	0.6407
पदावरण	F3	predicted_low	0.6345
पनवार	M2	predicted_low	0.6154
पनहार	M2	predicted_low	0.6396
पयोधर	M2	predicted_low	0.5636
परकार	F3	predicted_low	0.5509
परजन्म	M2	predicted_low	0.6422
परबल	M2	predicted_low	0.5984
परस	F3	predicted_low	0.6230
परिपाश्व	M2	predicted_low	0.5872
परिपृष्ठ	F3	predicted_low	0.5857
परिमंडल	F3	predicted_low	0.6023
परिविहार	M2	predicted_low	0.5924
परिशेष	F3	predicted_low	0.6401
पर्यंक	F3	predicted_low	0.5829
पर्यवेक्षण	M2	predicted_low	0.6398
पश्चभाग	F3	predicted_low	0.5640
पसावन	M2	predicted_low	0.6077
पाँव	M2	predicted_low	0.6181
पाकिटमार	F3	predicted_low	0.6478
पागुर	M2	predicted_low	0.6044
पाटंबर	F3	predicted_low	0.6416
पाण्डुलेख्य	M2	predicted_low	0.6186
पायस	M2	predicted_low	0.5551
पार्टीबाज़	F3	predicted_low	0.6193
पावडर	F3	predicted_low	0.6087
पावदान	F3	predicted_low	0.5511
पिटक	F3	predicted_low	0.5696
पितरपख	F3	predicted_low	0.6414
पितृ	F3	predicted_low	0.6363
पितृयज्ञ	M2	predicted_low	0.6462
पियाल	M2	predicted_low	0.5615
पुंसत्व	F3	predicted_low	0.5840
पुराख्यान	M2	predicted_low	0.5619
पुराशास्त्र	F3	predicted_low	0.5651
पुष्पज्ञ	F3	predicted_low	0.5646
पुष्पदल	F3	predicted_low	0.5701
पुष्पसार	F3	predicted_low	0.6409
पूजक	M2	predicted_low	0.6355
पूरब	F3	predicted_low	0.6418
पूरापन	M2	predicted_low	0.6367
पूर्णकाय	M2	predicted_low	0.5595
पूर्णचन्द्र	M2	predicted_low	0.6154
पूर्वक्रम	F3	predicted_low	0.5849
पूर्वभाद्रपद	F3	predicted_low	0.6189
पृष्ठदंड	M2	predicted_low	0.5773
पेस्ट	F3	predicted_low	0.5550
पैसेंजर्स	F3	predicted_low	0.6119
पॉलीटेकनिक	F3	predicted_low	0.6259
पोंछ	F3	predicted_low	0.6078
पोत	F3	predicted_low	0.5558
पोपट	F3	predicted_low	0.6013
पौत्र	M2	predicted_low	0.5667
पौधागाह	M2	predicted_low	0.6428
पौरुष	M2	predicted_low	0.5781
पौरूष्य	M2	predicted_low	0.6030
प्रत्नविज्ञान	M2	predicted_low	0.6343
प्रलेप	F3	predicted_low	0.5579
प्रश्नकाल	M2	predicted_low	0.6133
प्रसरण	F3	predicted_low	0.5657
प्रस्तुतिकरण	M2	predicted_low	0.5525
प्रह्लाद	M2	predicted_low	0.5799
प्रायश्चित्त	F3	predicted_low	0.5712
प्रायोजन	F3	predicted_low	0.6316
प्रालेख	F3	predicted_low	0.6406
फनकार	M2	predicted_low	0.5668
फलहार	F3	predicted_low	0.6490
फुटकर	M2	predicted_low	0.5616
फ्रंटियर्स	F3	predicted_low	0.5737
फ्रै़क्चर	F3	predicted_low	0.6093
बकुल	F3	predicted_low	0.6412
बकोट	F3	predicted_low	0.6043
बत्तक	M2	predicted_low	0.6231
बन्धन	F3	predicted_low	0.5860
बलराम	F3	predicted_low	0.5807
बवाल	M2	predicted_low	0.6279
बहस	F3	predicted_low	0.5555
बहिरंग	M2	predicted_low	0.5918
बहिरिंद्रिय	M2	predicted_low	0.5571
बहुशिल्प	F3	predicted_low	0.5916
बाँसपोर	F3	predicted_low	0.5787
बाँह	F3	predicted_low	0.6068
बाट	F3	predicted_low	0.6068
बाटल	F3	predicted_low	0.5974
बानर	M2	predicted_low	0.6189
बाम	F3	predicted_low	0.6465
बालचर	F3	predicted_low	0.5602
बालूत	M2	predicted_low	0.6199
बासन	F3	predicted_low	0.6384
बिस्किट	F3	predicted_low	0.6346
बुलडोजर	M2	predicted_low	0.5651
बूझ	F3	predicted_low	0.5926
बूत	F3	predicted_low	0.5755
बृहदांत्र	F3	predicted_low	0.6163
बैताल	F3	predicted_low	0.6216
बैराग	F3	predicted_low	0.5814
बैरिस्टर	F3	predicted_low	0.5583
बक़वाद	F3	predicted_low	0.6363
बज़्ज़ाज़	M2	predicted_low	0.6402
बडहर	F3	predicted_low	0.6014
भगांकुर	F3	predicted_low	0.5981
भभक	F3	predicted_low	0.6034
भराव	F3	predicted_low	0.5554
भवजाल	M2	predicted_low	0.6015
भसुर	F3	predicted_low	0.6102
भागदौड	F3	predicted_low	0.6192
भाववाचक	F3	predicted_low	0.5614
भावातिरेक	F3	predicted_low	0.6086
भिज्ञ	F3	predicted_low	0.5936
भीडंत	F3	predicted_low	0.5944
भुजैल	F3	predicted_low	0.5761
भुरकुस	F3	predicted_low	0.5861
भूमिगृह	M2	predicted_low	0.5822
भूमिहर	F3	predicted_low	0.6491
भूमिहार	M2	predicted_low	0.6102
भृगुनंद	F3	predicted_low	0.6428
भोजपत्र	M2	predicted_low	0.6221
भौमवार	F3	predicted_low	0.6277
भडक	F3	predicted_low	0.6037
मंतव्य	M2	predicted_low	0.6498
मंदारक	F3	predicted_low	0.5879
मंज़िल	F3	predicted_low	0.6458
मकसद	F3	predicted_low	0.5598
मच्छीमार	M2	predicted_low	0.6050
मजदूरिन	F3	predicted_low	0.6389
मजूर	F3	predicted_low	0.5757
मत्स्यालय	M2	predicted_low	0.6183
मदव्य	F3	predicted_low	0.5612
मधुमेह	F3	predicted_low	0.6424
मनस्ताप	F3	predicted_low	0.6337
मय	F3	predicted_low	0.6082
मशक	F3	predicted_low	0.5988
मशरूम	M2	predicted_low	0.6280
मसियार	F3	predicted_low	0.5961
महर	F3	predicted_low	0.5949
महाउत	M2	predicted_low	0.6123
महातिक्त	F3	predicted_low	0.6280
महाद्रुम	F3	predicted_low	0.6295
महापातर	M2	predicted_low	0.6225
महाराष्ट्रीयन	M2	predicted_low	0.6292
महोख	F3	predicted_low	0.6221
मांसाहार	F3	predicted_low	0.6467
माणिक	F3	predicted_low	0.6484
माणिक्य	F3	predicted_low	0.6166
मानवीकरण	F3	predicted_low	0.6257
मानसशास्त्र	F3	predicted_low	0.5875
मानिक	M2	predicted_low	0.5689
मापन	F3	predicted_low	0.5568
मालखंभ	F3	predicted_low	0.5890
मिआद	F3	predicted_low	0.6407
मितम्ग	F3	predicted_low	0.5897
मिताहार	M2	predicted_low	0.5777
मिथिलेश	M2	predicted_low	0.5525
मुरार	F3	predicted_low	0.5784
मुल्य	M2	predicted_low	0.5926
मुष्टियुद्ध	M2	predicted_low	0.5854
मूँग	F3	predicted_low	0.6051
मूँज	M2	predicted_low	0.5861
मूँठ	M2	predicted_low	0.5625
मूत	F3	predicted_low	0.6060
मृगशाव	F3	predicted_low	0.5641
मृणाल	F3	predicted_low	0.5693
मेकप	F3	predicted_low	0.5595
मेलजोल	F3	predicted_low	0.5681
मैहर	M2	predicted_low	0.6155
मोरछल	M2	predicted_low	0.5584
म्यानमार	M2	predicted_low	0.5698
यात्रावाल	F3	predicted_low	0.6020
यूएस्	F3	predicted_low	0.6432
यूह	F3	predicted_low	0.5561
यौगिक	M2	predicted_low	0.6422
रँगरेज़	F3	predicted_low	0.5505
रंगीनमिजाज़	M2	predicted_low	0.6267
रकसैक	F3	predicted_low	0.6296
रकाब	M2	predicted_low	0.5843
रकैल	F3	predicted_low	0.6295
रक्तोपल	M2	predicted_low	0.6252
रजत	M2	predicted_low	0.5900
रजोधर्म	M2	predicted_low	0.6265
रडार	M2	predicted_low	0.5613
रबर	F3	predicted_low	0.5977
रब्बाब	M2	predicted_low	0.6190
रमेश	F3	predicted_low	0.6420
ररक	M2	predicted_low	0.6029
रसाम्ल	M2	predicted_low	0.6471
रसियाव	F3	predicted_low	0.5971
रहँट	M2	predicted_low	0.5880
राजनीतिक	F3	predicted_low	0.5630
राजादन	M2	predicted_low	0.5745
राजूदत	F3	predicted_low	0.5604
राज्यवर्धन	M2	predicted_low	0.6343
राडार	F3	predicted_low	0.5510
रातिब	M2	predicted_low	0.6196
राधेय	M2	predicted_low	0.5624
रिएक्शन	F3	predicted_low	0.5614
रिटायरमेंट	F3	predicted_low	0.6045
रिम	M2	predicted_low	0.5974
रिषभ	M2	predicted_low	0.6388
रिसाव	F3	predicted_low	0.5652
रुदन	F3	predicted_low	0.5813
रुधिर	M2	predicted_low	0.6295
रूठन	M2	predicted_low	0.5619
रूपरंग	M2	predicted_low	0.5704
रेकागणित	F3	predicted_low	0.6038
रेच्य	F3	predicted_low	0.6003
रेलठेल	F3	predicted_low	0.5912
रेह	M2	predicted_low	0.5941
लँगडापन	M2	predicted_low	0.5890
लग्घड	M2	predicted_low	0.5969
लघुत्व	M2	predicted_low	0.6419
लछमन	F3	predicted_low	0.5702
लफ्फड	F3	predicted_low	0.6431
लफ्ज़	F3	predicted_low	0.6049
लवण	M2	predicted_low	0.6096
लाल	M2	predicted_low	0.5697
लिपिन्यास	F3	predicted_low	0.5642
लीप	M2	predicted_low	0.6405
लुकाट	F3	predicted_low	0.6049
लुत्फ़	F3	predicted_low	0.5974
लेख्य	M2	predicted_low	0.6160
लेन	F3	predicted_low	0.5627
लोहारिन	F3	predicted_low	0.5704
वन्यजीवन	F3	predicted_low	0.5963
वरत्वक	M2	predicted_low	0.6302
वर्क़	M2	predicted_low	0.6159
वलमीक	M2	predicted_low	0.5989
वसुदेव	F3	predicted_low	0.6172
वायलिन	F3	predicted_low	0.5610
वितरित	F3	predicted_low	0.5650
विशोधन	M2	predicted_low	0.6332
विषुवत	M2	predicted_low	0.6172
वीर्य	M2	predicted_low	0.6275
वृतांत	M2	predicted_low	0.6249
वैताल	M2	predicted_low	0.6360
वैमत्य	F3	predicted_low	0.6491
वैमनस्य	M2	predicted_low	0.5693
वैराग्य	F3	predicted_low	0.6221
वॉर्मिंग	M2	predicted_low	0.6283
व्यासार्ध	M2	predicted_low	0.5978
व्रज	M2	predicted_low	0.5724
वक़ील	F3	predicted_low	0.5521
शफ	F3	predicted_low	0.5529
शमीज़	M2	predicted_low	0.6219
शरत	M2	predicted_low	0.5799
शराप	M2	predicted_low	0.5723
शांतिबल	M2	predicted_low	0.5871
शाकांग	M2	predicted_low	0.6147
शोरग़ुल	M2	predicted_low	0.6204
षड्भुज	F3	predicted_low	0.5935
सकुचाहट	F3	predicted_low	0.6347
सज	M2	predicted_low	0.6017
सजग	M2	predicted_low	0.6288
सजधज	F3	predicted_low	0.5712
सठियायापन	M2	predicted_low	0.5830
सत्तापक्ष	M2	predicted_low	0.6300
सनद	F3	predicted_low	0.5803
सनातन	M2	predicted_low	0.6078
समभुज	M2	predicted_low	0.6435
समिध्	F3	predicted_low	0.6411
सहलाहट	F3	predicted_low	0.5982
सागौन	M2	predicted_low	0.6254
सिकहर	M2	predicted_low	0.6370
सीतपकड	F3	predicted_low	0.5845
सीतानाथ	F3	predicted_low	0.5945
सीनाबंद	F3	predicted_low	0.5999
सीड	F3	predicted_low	0.5795
सुक्त	M2	predicted_low	0.5998
सुचिंतन	F3	predicted_low	0.6305
सुपुत्र	M2	predicted_low	0.6400
सुपुर्द	F3	predicted_low	0.5923
सुबूत	F3	predicted_low	0.5713
सुभाषण	M2	predicted_low	0.6181
सुमन	F3	predicted_low	0.5713
सुमिरन	M2	predicted_low	0.5828
सुरत्व	F3	predicted_low	0.6446
सुरापान	M2	predicted_low	0.5825
सुराग़	F3	predicted_low	0.6408
सुलतान	F3	predicted_low	0.5618
सुलेखन	F3	predicted_low	0.5964
सुलोचन	M2	predicted_low	0.6218
सुवर्णकार	M2	predicted_low	0.6227
सुवास	M2	predicted_low	0.5512
सुशासन	F3	predicted_low	0.6347
सुहैल	F3	predicted_low	0.6053
सूँस	F3	predicted_low	0.6492
सूँड	M2	predicted_low	0.6044
सूक	F3	predicted_low	0.6174
सूझ	F3	predicted_low	0.6387
सूत्रधर	M2	predicted_low	0.6205
सेंहुड	M2	predicted_low	0.5907
सेन्सस	F3	predicted_low	0.6401
सेप्टेमबर	M2	predicted_low	0.5815
सैयाद	F3	predicted_low	0.6313
सोग	M2	predicted_low	0.6085
सोम	M2	predicted_low	0.6170
सोहन	M2	predicted_low	0.5740
सौन्दर्य	F3	predicted_low	0.6301
सौबल	F3	predicted_low	0.5629
सौबलक	F3	predicted_low	0.6001
स्कंद	M2	predicted_low	0.5652
स्कंध	M2	predicted_low	0.5578
स्खलन	F3	predicted_low	0.6354
स्टेशन	F3	predicted_low	0.5754
स्तर	M2	predicted_low	0.6357
स्थल	M2	predicted_low	0.5578
स्थलचर	M2	predicted_low	0.6433
स्नान	M2	predicted_low	0.5813
स्नाव	M2	predicted_low	0.5834
स्पष्टीकरण	M2	predicted_low	0.6192
स्रीमान्	M2	predicted_low	0.6293
