word	paradigm_class	confidence
अंतःस्वेद	M2	certain
अंतकर्म	M2	certain
अंतकारी	M3	certain
अंतकाल	F3	certain
अंतक्रिया	F2	certain
अंतगामी	M3	certain
अंततः	F3	certain
अंतबेला	F2	certain
अंतर	M2	certain
अंतरंग	M2	certain
अंतरंगता	F2	certain
अंतरजाल	M2	certain
अंतरण	M2	certain
अंतरद्वंद्व	M2	certain
अंतरराष्ट्रीय_मुद्राकोष	M2	certain
अंतरा	M1	certain
अंतरात्मा	F2	certain
अंतरानुभूति	F4	certain
अंतराय	M2	certain
अंतराल	M2	certain
अंतरिक्ष	M2	certain
अंतरिक्षयात्री	F1	heuristic
अंतरिक्षयान	M2	certain
अंतरीय	F3	certain
अंतर्	M2	certain
अंतर्ज्ञान	M2	certain
अंतर्ज्योति	F4	certain
अंतर्ज्वाला	F2	certain
अंतर्दर्शी	M3	certain
अंतर्दिशा	F2	certain
अंतर्दृष्टि	F4	certain
अंतर्द्धान	F3	certain
अंतर्द्र्‍ष्टि	F4	certain
अंतर्धान	M2	certain
अंतर्धारा	M1	heuristic
अंतर्बोध	F3	certain
अंतर्भाव	M2	certain
अंतर्मन	F3	certain
अंतर्यामी	M3	certain
अंतर्वासी	M3	certain
अंतर्वेदना	F2	certain
अंतवर्ण	M2	certain
अंतवासी	M3	certain
अंतशय्या	M1	certain
अंतस्ताप	F3	certain
अंतस्थ_राज्य	M2	certain
अंतहपुर	M2	certain
अंताक्षरी	M3	certain
अंतिम	F3	certain
अंतेवासी	M3	certain
अंत्यकर्म	M2	certain
अंत्यक्रिया	F2	certain
अंत्यज	M2	certain
अंत्यलोप	M2	certain
अंत्याक्षर	M2	certain
अंत्याक्षरी	F1	certain
अंत्येष्टि	F4	certain
अंत्र	M2	certain
अंत्रप्रदाह	F3	certain
अंदर	F3	certain
अंदाज	M2	certain
अंदाजन	F3	certain
अंदाज़	M2	certain
अंदाज़ा	M1	certain
अंदाजा	M1	certain
अंदाज़	F3	certain
अंदेशा	M1	certain
अंध	F3	certain
अंधक	M2	certain
अंधकार	F3	certain
अंधड	M2	certain
अंधता	M1	heuristic
अंधविश्वास	M2	certain
अंधाकुप्प	M2	certain
अंधाधुंध	F3	certain
अंधानुकरण	F3	certain
अंधानुयायिता	F2	certain
अंधापन	M2	certain
अंधेर	F3	certain
अंधेरखाता	M1	certain
अंधेरगर्दी	F1	certain
अंधेरनगरी	F1	certain
अंधेरा	M1	certain
अंध्र	M2	certain
अंधड़	M2	certain
अंपायर	M2	certain
अंबक	M2	certain
अंबर	M2	certain
अंबराई	F1	heuristic
अंबरीष	M2	certain
अंबा	F2	certain
अंबापाली	F1	certain
अंबार	M2	certain
अंबारी	F1	heuristic
अंबालिका	F2	certain
अंबिका	F2	certain
अंबिकेय	F3	certain
अंबिया	F1	certain
अंबी	F1	certain
अंबु	F5	certain
अंबुज	M2	certain
अंबुजा	F2	certain
अंबुजासन	M2	certain
अंबुजासना	F2	certain
अंबुतस्कर	M2	certain
अंबुद	M2	certain
अंबुधर	M2	certain
अंबुधि	F4	heuristic
अंबुनाथ	M2	certain
अंबुनिधि	M3	certain
अंबुराज	F3	certain
अंभ	M2	certain
अंभः	F3	certain
अंभःपति	M3	certain
अंभःसार	M2	certain
अंभनिधि	M3	certain
अंभोज	F3	certain
अंभोधर	M2	certain
अंश	M2	certain
अंशकरण	M2	certain
अंशदर	M2	certain
अंशदान	F3	certain
अंशधारी	M3	certain
अंशपत्र	M2	certain
अंशपूॅजी	F1	certain
अंशशोधन	F3	certain
अंशावतार	M2	certain
अंशी	M3	certain
अंशु	M4	certain
अंशुक	M2	certain
अंशुमान	M2	certain
अंस	M2	certain
अंसकूट	M2	certain
अंसफलक	M2	certain
अऑडिटर	M2	certain
अकंपन	M2	certain
अकंपितता	F2	certain
अकड़	F3	certain
अकड़न	F3	certain
अकड़बाज़ी	F1	certain
अकन्या	F2	certain
अकबक	F3	certain
अकबर	F3	certain
अकबरी	F1	certain
अकर्त्र्‍क	M2	certain
अकर्त्र्‍त्व	M2	certain
अकर्म	M2	certain
अकल	M2	certain
अकलंकता	F2	certain
अकलदाढ	F3	certain
अकलमंदी	F1	certain
अकलात्मकता	F2	certain
अकल्याण	F3	certain
अकशेरुकी	F1	heuristic
अकसीर	F3	certain
अकाउंट	M2	certain
अकाउंटबुक	F3	certain
अकाउंटेंट	M2	certain
अकाज	M2	certain
अकादमी	F1	certain
अकामता	F2	certain
अकार	M2	certain
अकारण	F3	certain
अकारथ	M2	certain
अकारन	M2	certain
अकार्पण्य	M2	certain
अकार्य	M2	certain
अकाल	M2	certain
अकालकुसुम	M2	certain
अकालप्रसव	M2	certain
अकालम्र्‍त्यु	F5	certain
अकाली	M3	certain
अकास	M2	certain
अकिंचनता	F2	certain
अकीर्ति	F4	certain
अकुताई	F4	certain
अकुलाई	F4	certain
अकुलाहट	M2	certain
अकुशलता	F2	certain
अकृतज्ञता	M1	certain
अकृपा	M1	certain
अकेलापन	M2	certain
अकोप	M2	certain
अकौटा	M1	heuristic
अकौटिल्य	F3	certain
अकौवन	M2	certain
अकौवा	M1	heuristic
अकौशल	M2	certain
अक्खड	M2	certain
अक्खडपन	M2	certain
अक्खड़पन	M2	certain
अक्तूबर	F3	certain
अक्रमिक	M2	certain
अक्रिया	F2	certain
अक्रूर	M2	certain
अक्रोध	M2	certain
अक्रोधन	F3	certain
अक्र्‍पा	F2	certain
अक्ल	F3	certain
अक्लमंदी	F1	certain
अक्लेश	M2	certain
अक्ष	M2	certain
अक्षक	M2	certain
अक्षकास्थि	F4	heuristic
अक्षक्रीडा	F2	certain
अक्षज	M2	certain
अक्षजन	M2	certain
अक्षता	F2	certain
अक्षदर्शक	M2	certain
अक्षमता	F2	certain
अक्षमा	F2	certain
अक्षमाला	F2	certain
अक्षयतृतीया	M1	heuristic
अक्षयनवमी	M3	certain
अक्षया	F2	certain
अक्षर	M2	certain
अक्षरगणित	M2	certain
अक्षरज्ञान	M2	certain
अक्षरमाला	F2	certain
अक्षरारंभ	M2	certain
अक्षरार्थ	M2	certain
अक्षरेखा	F2	certain
अक्षरौटी	F1	heuristic
अक्षरौती	F1	certain
अक्षव्र्‍त्त	M2	certain
अक्षसूत्र	M2	certain
अक्षांश	M2	certain
अक्षि	F4	certain
अक्षिकूट	M2	certain
अक्षितारा	M1	certain
अक्षिपक्ष्म	M2	certain
अक्षिपटल	M2	certain
अक्षोभ	M2	certain
अक्षौहिणी	F1	certain
अक्स	F3	certain
अखंडता	F2	certain
अखंडन	M2	certain
अखंडपाठ	M2	certain
अखंडसौभाग्य	M2	certain
अखडैत	M2	certain
अखतीज	F3	certain
अखबार	M2	certain
अखरा	M1	certain
अखरोट	M2	certain
अखरौटी	F1	heuristic
अख़बार	M2	certain
अख़बारनवीस	M2	certain
अख़बारनवीसी	F1	certain
अख़रोट	M2	certain
अख़रोटजंगली	M3	certain
अखाडा	M1	certain
अखाडिया	M1	heuristic
अखारा	M1	certain
अखाड़ा	M1	certain
अखिलात्मा	F2	certain
अखिलेश	M2	certain
अख्तियार	M2	certain
अख्याति	F4	certain
अगति	F4	certain
अगतिकता	F2	certain
अगत्वरता	F2	certain
अगमन	M2	certain
अगमनीया	F2	certain
अगम्या	F2	certain
अगरबत्ती	F1	certain
अगरसार	M2	certain
अगराई	F1	certain
अगरी	F1	certain
अगवानी	F1	certain
अगवाड़ा	M1	certain
अगस्त	F3	certain
अगस्ति	M3	certain
अगस्त्य	F3	certain
अगस्त्यकूट	M2	certain
अगस्त्यगीता	F2	certain
अगस्त्यतीर्थ	M2	certain
अगस्त्यमार्ग	M2	certain
अगस्त्यवट	M2	certain
अगस्त्यसंहिता	F2	certain
अगहन	M2	certain
अगाडी	F1	heuristic
अगाड़ा	M1	certain
अगिया	M1	heuristic
अगियार	M2	certain
अगियारी	F1	heuristic
अगीत_पछीत	M2	certain
अगुआ	M1	certain
अगुआई	F1	certain
अगुआनी	F1	certain
अगुरु	M4	certain
अगुवा	M1	certain
अगुवाई	F1	heuristic
अगुवानी	F1	certain
अगेह	M2	certain
अगौरवता	M1	certain
अग्नि	F4	certain
अग्नि-कुण्ड	M2	certain
अग्निकण	M2	certain
अग्निकर्म	M2	certain
अग्निकला	F2	certain
अग्निकांड	M2	certain
अग्निकार्य	M2	certain
अग्निकुँड	M2	certain
अग्निकुंड	M2	certain
अग्निकुमार	M2	certain
अग्निकेतु	F5	certain
अग्निक्रिया	F2	certain
अग्निचक्र	M2	certain
अग्निज्वाला	F2	certain
अग्नित्रेता	F2	certain
अग्निदंड	M2	certain
अग्निदाह	M2	certain
अग्निदूत	M2	certain
अग्निदेव	M2	certain
अग्निनक्षत्र	M2	certain
अग्निनेत्र	M2	certain
अग्निपरिक्रिया	F2	certain
अग्निपरीक्षा	F2	certain
अग्निपर्वत	M2	certain
अग्निपूजक	M2	certain
अग्निप्रणयन	M2	certain
अग्निप्रतिष्ठा	F2	certain
अग्निप्रवेश	M2	certain
अग्निबाण	M2	certain
अग्निमणि	F4	certain
अग्निमान्	M2	certain
अग्निलोक	M2	certain
अग्निवधू	F5	certain
अग्निवर्षा	F2	certain
अग्निवाहन	M2	certain
अग्निविद्या	F2	certain
अग्निशिखा	F2	certain
अग्निशुद्धि	F4	certain
अग्निसंस्कार	M2	certain
अग्निसेवन	F3	certain
अग्न्यागार	M2	certain
अग्न्याधान	M2	certain
अग्न्याशय	F3	certain
अग्न्युपस्थान	M2	certain
अग्रकर	M2	certain
अग्रग	M2	certain
अग्रगामी	M3	certain
अग्रज	M2	certain
अग्रजन्मा	M1	certain
अग्रजा	F2	certain
अग्रजाधिकार	M2	certain
अग्रणी	M3	certain
अग्रता	M1	certain
अग्रदानी	M3	certain
अग्रदूत	M2	certain
अग्रपाद	M2	certain
अग्रपूजा	F2	certain
अग्रबीज	M2	certain
अग्रभाग	M2	certain
अग्रभूमि	F4	certain
अग्रयान	M2	certain
अग्रयोधी	M3	certain
अग्रलेख	M2	certain
अग्रवाल	M2	certain
अग्रस्थान	M2	certain
अग्रह	M2	certain
अग्राशन	M2	certain
अग्रासन	M2	certain
अग्राह्या	F2	certain
अग्रिम_देय_धन	M2	certain
अग्रेसर	M2	certain
अग्र्‍ह	M2	certain
अघ	M2	certain
अघविष	M2	certain
अघात	M2	certain
अघारि	M3	certain
अघासुर	M2	certain
अघोडी	M3	certain
अघोर	M2	certain
अघोरनाथ	M2	certain
अघोरपंथ	M2	certain
अघोरपंथी	M3	certain
अघोररूप	M2	certain
अघोरी	M3	certain
अघ्रान	M2	certain
अचंभा	M1	certain
अचकन	M2	certain
अचक्का	M1	certain
अचपलाहट	F3	certain
अचपली	F1	certain
अचमन	M2	certain
अचम्भा	M1	certain
अचरज	M2	certain
अचल_संपत्ति	F4	certain
अचला	F2	certain
अचलासप्तमी	F2	certain
अचवन	M2	certain
अचातुर्य	M2	certain
अचार	M2	certain
अचारी	F1	certain
अचाह	F3	certain
अचिंतन	F3	certain
अचिंता	F2	certain
अचिंतितता	F2	certain
अचिंत्यकर्म	M2	certain
अचिंत्यात्मा	M1	certain
अचिकोटी	F1	certain
अचिरता	F2	certain
अचिरप्रसूता	F2	certain
अचेतनक	M2	certain
अचेतनता	F2	certain
अचेतना	F2	certain
अचेतनीकरण	M2	certain
अच्छत	M2	certain
अच्छर	M2	certain
अच्छा	M1	certain
अच्छाई	F1	certain
अच्छापन	M2	certain
अच्छोटन	M2	certain
अच्युत	F3	certain
अच्युतानंद	M2	certain
अछवानी	F1	certain
अछूत	M2	certain
अछूतोद्धार	M2	certain
अछोह	M2	certain
अजकर्ण	M2	certain
अजकर्णक	M2	certain
अजग	M2	certain
अजगर	M2	certain
अजगल्लिका	F2	certain
अजजीव	M2	certain
अजदेवता	M1	certain
अजन	M2	certain
अजननिका	F2	certain
अजन्म	M2	certain
अजपथ	M2	certain
अजपथ्य	M2	certain
अजपा	F2	certain
अजपाल	M2	certain
अजबंधु	M4	certain
अजभक्ष	M2	certain
अजमार	M2	certain
अजमुख	M2	certain
अजमोदा	M1	heuristic
अजमोदिका	F2	certain
अजय	F3	certain
अजया	F2	certain
अजलोमा	M1	certain
अजवाइन	F3	certain
अजवाईन	F3	certain
अजवायन	F3	certain
अजवीथी	F1	certain
अज़	F2	certain
अज़ाख़ाना	M1	certain
अज़ादार	M2	certain
अज़ादारी	F1	certain
अज़ान	F3	certain
अज़ीज़दार	M2	certain
अज़ीज़दारी	F1	certain
अजा	F2	certain
अजातशत्रु	F5	certain
अजातारि	F4	heuristic
अजानता	F2	certain
अजानपन	M2	certain
अजामिल	M2	certain
अजायबघर	M2	certain
अजायवखाना	M1	certain
अजितनाथ	M2	certain
अजितबला	F2	certain
अजिन	M2	certain
अजिर	M2	certain
अजिरवती	F1	certain
अजीर्ण	M2	certain
अजूजा	M1	certain
अजूबा	M1	certain
अज्ञता	F2	certain
अज्ञा	F2	certain
अज्ञातचर्या	F2	certain
अज्ञातयौवना	F2	certain
अज्ञातवास	M2	certain
अज्ञाता	M1	certain
अज्ञाति	M3	certain
अज्ञान	M2	certain
अज्ञानता	F2	certain
अज्ञानतिमिर	M2	certain
अज्ञानपन	M2	certain
अज्ञानी	M3	certain
अटकलअति	F3	certain
अटकलबाज़ी	F1	certain
अटकापन	M2	certain
अटकाव	M2	certain
अटया	F2	certain
अटरिया	F1	certain
अटारी	F1	certain
अटेरन	M2	certain
अटैची	F1	certain
अट्टस्थली	F1	certain
अट्टहास	M2	certain
अट्टहास्य	M2	certain
अट्टाट्टहास	M2	certain
अट्टालिका	F2	certain
अट्टाली	F1	heuristic
अट्ठा	M1	certain
अट्ठानवे	M2	certain
अट्ठावन	M2	certain
अट्ठासी	M2	certain
अठखेली	F1	certain
अठन्नी	F1	certain
अठमासा	M1	certain
अठवारा	M1	heuristic
अठहत्तर	M2	certain
अठारह	M2	certain
अठावन	M2	certain
अठासी	M2	certain
अठोतरी	F1	certain
अडंगा	M1	certain
अडंगाबाज़	M2	certain
अडंगाबाज़ी	F1	certain
अडंबर	M2	certain
अडगडा	M1	certain
अडगोडा	M1	certain
अडचन	F3	certain
अडचल	F3	certain
अडतल	M2	certain
अडतालीस	M2	certain
अडतीस	M2	certain
अडबंग	M2	certain
अडबंगा	M1	certain
अडसठ	M2	certain
अडहुल	M2	certain
अड़ोस-पड़ोस	M2	certain
अड्डा	M1	certain
अड्डाबाज़ी	F1	heuristic
अढउल	M2	certain
अढतिया	M1	certain
अढैया	F2	certain
अणिमा	F2	certain
अणिमादिक	F3	certain
अणु	M4	certain
अणुबम	M2	certain
अणुभा	F2	certain
अणुवाद	M2	certain
अणुव्रत	M2	certain
अणुव्रीहि	M3	certain
अतद्गुण	M2	certain
अतल	M2	certain
अतवार	M2	certain
अता-पता	M1	heuristic
अति_उत्पादन	M2	certain
अतिकथा	F2	certain
अतिकर्षण	M2	certain
अतिकाल	M2	certain
अतिक्रम	M2	certain
अतिक्रमण	M2	certain
अतिक्रामक	M2	certain
अतिगंध	M2	certain
अतिचार	M2	certain
अतिजीवन	M2	certain
अतिजीवी	M3	certain
अतितरण	M2	certain
अतितीव्रा	F2	certain
अतित्र्‍ष्णा	F2	certain
अतिथि	M3	certain
अतिथिक्रिया	F2	certain
अतिथिग्र्‍ह	M2	certain
अतिथिदेव	M2	certain
अतिथिधर्म	M2	certain
अतिथिपूजा	F2	certain
अतिथिभवन	M2	certain
अतिथियज्ञ	M2	certain
अतिथिशाला	F2	certain
अतिथिसत्कार	M2	certain
अतिथिसेवा	F2	certain
अतिदाता	M1	certain
अतिदान	M2	certain
अतिदाह	M2	certain
अतिदेव	M2	certain
अतिदेश	M2	certain
अतिदोष	M2	certain
अतिधन्वा	M1	certain
अतिपतन	M2	certain
अतिपुरुष	M2	certain
अतिपूरुष	M2	certain
अतिप्रजनन	M2	certain
अतिप्रबंध	M2	certain
अतिप्रश्न	M2	certain
अतिप्रसंग	M2	certain
अतिप्रौढा	F2	certain
अतिबल	M2	certain
अतिब्रह्मचर्य	M2	certain
अतिभूमि	F4	certain
अतिभोजन	F3	certain
अतिमद्यपता	F2	certain
अतिमान	M2	certain
अतिमानव	M2	certain
अतिमानुष	M2	certain
अतिमित्र	M2	certain
अतिमैथुन	M2	certain
अतिम्र्‍त्यु	F5	certain
अतिरंजन	M2	certain
अतिरंजना	F2	certain
अतिरथ	M2	certain
अतिरथी	M3	certain
अतिरात्र	M2	certain
अतिरिक्तपत्र	M2	certain
अतिरेक	M2	certain
अतिरोग	M2	certain
अतिलंघन	M2	certain
अतिलौल्य	M2	certain
अतिवक्ता	M1	certain
अतिवाद	M2	certain
अतिविपिन	M2	certain
अतिविष	M2	certain
अतिवेला	F2	certain
अतिव्याप्ति	F4	certain
अतिव्र्‍द्धा	F2	certain
अतिव्र्‍ष्टि	F4	certain
अतिशयता	M1	heuristic
अतिशयन	F3	certain
अतिशयोक्ति	F4	certain
अतिशायन	F3	certain
अतिशूद्र	M2	certain
अतिशेष	M2	certain
अतिसंधान	M2	certain
अतिसंधि	F4	certain
अतिसर्पण	F3	certain
अतिसार	M2	certain
अतीत	M2	certain
अतीरेक	M2	certain
अतीसार	M2	certain
अतुराई	F1	certain
अतुष्टि	F4	certain
अतुष्टी	F1	heuristic
अतृप्ति	F4	certain
अतेज	M2	certain
अत्यंतवासी	M3	certain
अत्यंताभाव	M2	certain
अत्यधिकता	M1	certain
अत्यम्ल	M2	certain
अत्याग	M2	certain
अत्याचार	M2	certain
अत्याचारी	M3	certain
अत्यारूढि	F4	certain
अत्युक्ति	F4	certain
अत्युत्पादन	M2	certain
अत्रि	M3	certain
अत्रिजात	F3	certain
अत्र्‍प्ति	F4	certain
अत्वरा	F2	certain
अथरा	M1	heuristic
अथर्व	M2	certain
अथर्वण	M2	certain
अथर्वणि	M3	certain
अथर्वनिधि	F4	certain
अथर्वनी	F1	certain
अथर्वशिखा	F2	certain
अथारिटी	M3	certain
अदक्षता	M1	certain
अदन	M2	certain
अदब	M2	certain
अदबक़ायदा	M1	certain
अदबलिहाज	M2	certain
अदम	M2	certain
अदमतामील	F3	certain
अदमपैरवी	F1	certain
अदमफुरसत	F3	certain
अदममौजूदगी	F1	certain
अदमवसूली	F1	certain
अदमसबूत	M2	certain
अदमहाजिरी	F1	certain
अदया	M1	heuristic
अदरक	F3	certain
अदर्शन	M2	certain
अदल	M2	certain
अदवान	M2	certain
अदहन	M2	certain
अदा	F2	certain
अदाई	F1	certain
अदाकार	M2	certain
अदाकारा	F2	certain
अदाबंदी	F1	certain
अदायगी	F1	certain
अदालत	F3	certain
अदावत	F3	certain
अदिति	F4	certain
अदितिज	M2	certain
अदितिनंदन	M2	certain
अदिव्या	F2	certain
अदेयदान	M2	certain
अदेव	M2	certain
अदेवता	M1	certain
अदौरी	F1	certain
अद्भुतता	M1	heuristic
अद्रव्य	M2	certain
अद्रि	M3	certain
अद्रिकन्या	F2	certain
अद्रिकीला	F2	certain
अद्रिजा	F2	certain
अद्रिपति	M3	certain
अद्रिभू	M4	certain
अद्रोह	M2	certain
अद्र्‍ष्टफल	M2	certain
अद्र्‍ष्टाक्षर	M2	certain
अद्र्‍ष्टि	F4	certain
अद्वार	M2	certain
अद्वेष	M2	certain
अद्वेष्टा	M1	certain
अद्वैत	M2	certain
अद्वैतवाद	F3	certain
अधःकाय	M2	certain
अधःक्रिया	F2	certain
अधःपतन	M2	certain
अधकच्छा	M1	certain
अधकछार	M2	certain
अधकपारी	F1	certain
अधकरी	F1	certain
अधचना	M1	certain
अधन्ना	M1	certain
अधन्नी	F1	certain
अधपई	F1	certain
अधपन्ना	M1	certain
अधबर	M2	certain
अधमई	F1	certain
अधमता	F2	certain
अधमर्ण	M2	certain
अधमा	F2	certain
अधमाई	F1	certain
अधर	M2	certain
अधरकाय	M2	certain
अधरपान	M2	certain
अधरम	M2	certain
अधररस	M2	certain
अधरात	F3	certain
अधराधर	M2	certain
अधराम्र्‍त	M2	certain
अधरावलोप	M2	certain
अधरोष्ठ	M2	certain
अधरौष्ठ	M2	certain
अधर्म	M2	certain
अधर्मी	M3	certain
अधवारथ	M2	certain
अधसेरा	M1	certain
अधातु	F5	certain
अधार	M2	certain
अधारी	F1	heuristic
अधार्मिकता	M1	certain
अधिककोण	M2	certain
अधिकता	F2	certain
अधिकतिथि	F4	certain
अधिकत्रिभुज	M2	certain
अधिकदिन	M2	certain
अधिकमास	M2	certain
अधिकर	M2	certain
अधिकरण	M2	certain
अधिकांश	M2	certain
अधिकाई	F1	certain
अधिकार	M2	certain
अधिकारपत्र	M2	certain
अधिकारपात्र	M2	certain
अधिकारविधि	F4	certain
अधिकारहीनता	M1	certain
अधिकारिक	M2	certain
अधिकारिका_सेना	F2	certain
अधिकारितंत्र	M2	certain
अधिकारिता	M1	certain
अधिकारी	M3	certain
अधिकारीतंत्र	M2	certain
अधिकोष	M2	certain
अधिक्र्‍ति	F4	certain
अधिक्षक	M2	certain
अधिक्षेत्र	M2	certain
अधिक्षेप	M2	certain
अधिगम	M2	certain
अधिग्रहण	M2	certain
अधिज्य	M2	certain
अधित्यका	F2	certain
अधित्याग	M2	certain
अधिदेय	M2	certain
अधिदेव	M2	certain
अधिदैव	M2	certain
अधिदैवत	M2	certain
अधिनायक	M2	certain
अधिनायकवादिता	F2	certain
अधिनायकी	F1	certain
अधिनायिका	F2	certain
अधिनियम	M2	certain
अधिनियमन्	M2	certain
अधिनिर्णय	F3	certain
अधिनिष्कासन	M2	certain
अधिन्यास	M2	certain
अधिप	M2	certain
अधिपति	M3	certain
अधिपत्नी	F1	certain
अधिपत्र	M2	certain
अधिपुरुष	M2	certain
अधिपूरुष	M2	certain
अधिबल	M2	certain
अधिभार	M2	certain
अधिभू	M4	certain
अधिभूत	M2	certain
अधिभोजन	M2	certain
अधिमान	M2	certain
अधिमान्यता	F2	certain
अधिमास	M2	certain
अधिमित्र	M2	certain
अधिमुक्ति	F4	certain
अधियज्ञ	M2	certain
अधिया	M1	heuristic
अधियारी	F1	certain
अधिरथ	M2	certain
अधिराज	M2	certain
अधिराज्य	M2	certain
अधिराट्	M2	certain
अधिरोप	M2	certain
अधिरोपण	M2	certain
अधिरोहण	M2	certain
अधिरोहणी	F1	certain
अधिरोहिणी	F1	certain
अधिरोही	M3	certain
अधिलाभांश	M2	certain
अधिवक्ता	M1	certain
अधिवचन	M2	certain
अधिवाचन	M2	certain
अधिवास	M2	certain
अधिवासी	M3	certain
अधिवासी_किसान	M2	certain
अधिवेशन	M2	certain
अधिशयन	M2	certain
अधिशासन	M2	certain
अधिशासी_अभियंता	M1	certain
अधिशुल्क	M2	certain
अधिश्रयण	M2	certain
अधिष्ठाता	M1	certain
अधिष्ठान	M2	certain
अधिष्ठापन	M2	certain
अधिष्ठापना	F2	certain
अधिसूचना	F2	certain
अधीकार	M2	certain
अधीक्षक	M2	certain
अधीक्षण	F3	certain
अधीक्षिका	F2	certain
अधीति	F4	certain
अधीनता	F2	certain
अधीनस्थता	M1	certain
अधीनीकरण	M2	certain
अधीरता	M1	certain
अधीरा	F2	certain
अधीवास	M2	certain
अधीश	M2	certain
अधीश्वर	M2	certain
अधेनु	F5	certain
अधेली	F1	heuristic
अधैर्य	F3	certain
अधोगति	F4	certain
अधोगमन	F3	certain
अधोपतन	F3	certain
अधोभाग	M2	certain
अधोवायु	F5	certain
अध्यक्ष	M2	certain
अध्यक्षता	F2	certain
अध्यक्षदीर्घा	F2	certain
अध्यक्षपीठ	M2	certain
अध्ययन	F3	certain
अध्ययनकक्ष	M2	certain
अध्ययनशीलता	M1	certain
अध्ययनावकाश	M2	certain
अध्यवसान	M2	certain
अध्यवसाय	M2	certain
अध्यवसायी	M3	certain
अध्यात्म	F3	certain
अध्यात्मज्ञ	F3	certain
अध्यात्मज्ञान	F3	certain
अध्यात्मदर्शी	M3	certain
अध्यात्मयोग	F3	certain
अध्यात्मरति	M3	certain
अध्यात्मरामायण	F3	certain
अध्यात्मवाद	F3	certain
अध्यात्मविद्या	F2	certain
अध्यात्मशास्त्र	F3	certain
अध्यादेश	M2	certain
अध्यापक	M2	certain
अध्यापकी	F1	certain
अध्यापन	F3	certain
अध्यापयिता	F2	certain
अध्यापिका	F2	certain
अध्याय	M2	certain
