surface	gold_lemma	gold_asp	gold_ten	gold_mood	gold_gen	gold_num	gold_per	vtype	confidence	cpos	failure_type	n_predicted	pred_lemmas	file	line_no
आ	आ					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	632
देखकर	देख							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	638
खिसक	खिसक					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	642
पोंछते	पोंछ				M	S		participle	low	VM	wrong_features	2	पोंछ|पोंछत	file-andhe_ki_lathi-1507111038.dat	648
आ	आ					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	652
टूट	टूट					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	660
टूट	टूट				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	669
छीन	छीन							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	682
धकिया	धकिया					S		participle	medium	VM	wrong_lemma	4	धकी|धके|धकि|धकिय	file-andhe_ki_lathi-1507111038.dat	683
हो	हो				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	690
रोकर	रो							unknown	none	VAUX	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	693
हैं	है					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	705
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	709
पड़कर	पड							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	715
भूल	भूल				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	718
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	722
पीकर	पी							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	726
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	742
कमा	कमा							participle	low	VM	wrong_lemma	1	कम	file-andhe_ki_lathi-1507111038.dat	748
खा	खा				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	749
देखो	देख					S		finite	low	VM	wrong_features	1	देख	file-andhe_ki_lathi-1507111038.dat	758
बैठे	बैठ				M	S		participle	low	VM	wrong_features	1	बैठ	file-andhe_ki_lathi-1507111038.dat	760
छीन	छीन							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	765
जा	जा							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	767
बसे	बस					S		participle	low	VM	wrong_features	1	बस	file-andhe_ki_lathi-1507111038.dat	768
करो	कर					S		finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	780
जानकर	जान							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	786
दुत्कार	दुत्कार				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	787
थे	था				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	800
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	806
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	811
हूं	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	819
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	823
करवायी	कर				F	S		participle	low	VM	wrong_lemma	2	करवा|करवाय	file-andhe_ki_lathi-1507111038.dat	833
पहुंच	पहुंच					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	838
रह	रह					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	840
कोसो	कोस					S		finite	low	VM	wrong_features	1	कोस	file-andhe_ki_lathi-1507111038.dat	849
था	था				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	863
आ	आ					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	869
देखकर	देख							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	879
रह	रह					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	881
कर	कर							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	887
भागते	भाग				M	S		participle	low	VM	wrong_features	2	भाग|भागत	file-andhe_ki_lathi-1507111038.dat	888
आया	आ				M	S		participle	low	VM	wrong_lemma	1	आय	file-andhe_ki_lathi-1507111038.dat	889
करते	कर				M	S		participle	low	VM	wrong_features	2	कर|करत	file-andhe_ki_lathi-1507111038.dat	893
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	898
सुनते	सुन				M	S		participle	low	VM	wrong_features	2	सुन|सुनत	file-andhe_ki_lathi-1507111038.dat	902
पोंछते	पोंछ				M	S		participle	low	VM	wrong_features	2	पोंछ|पोंछत	file-andhe_ki_lathi-1507111038.dat	905
बोले	बोल				M	S		participle	low	VM	wrong_features	1	बोल	file-andhe_ki_lathi-1507111038.dat	906
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	910
आता	आ				M	S		participle	low	VM	wrong_lemma	1	आत	file-andhe_ki_lathi-1507111038.dat	917
कह	कह				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	924
टूट	टूट					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	931
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	947
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	965
हुआ	हो				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	971
लुट	लुट					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	981
लुट	लुट				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	993
छुट	छुट				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	997
दिलवा	दिला					S		participle	low	VM	wrong_lemma	1	दिलव	file-andhe_ki_lathi-1507111038.dat	1002
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1012
दे	दे				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1026
बच	बच					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1035
मिल	मिल					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1040
करो	कर					S		finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	1045
हो	हो					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1048
हुई	हो				F	S		participle	low	VM	wrong_lemma	1	हु	file-andhe_ki_lathi-1507111038.dat	1051
चाहो	चाह					S		finite	low	VM	wrong_features	1	चाह	file-andhe_ki_lathi-1507111038.dat	1061
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1063
बिगाड़	बिगाड					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1068
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1073
दबा	दबा							participle	low	VM	wrong_lemma	1	दब	file-andhe_ki_lathi-1507111038.dat	1078
लटकाकर	लटका							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1082
मढ	मढ							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1087
करवायेंगे	कर				M	S		finite	medium	VM	wrong_lemma	3	करवा|करवाय|करवायेंग	file-andhe_ki_lathi-1507111038.dat	1097
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1107
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1111
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1114
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1120
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1124
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1129
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1137
हैं	है					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1143
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1147
करो	कर					S		finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	1152
बरतेगें	बरत				M	P		finite	low	VM	wrong_lemma	1	बरतेग	file-andhe_ki_lathi-1507111038.dat	1158
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1164
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1172
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1176
करवाकर	कर							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1191
हूं	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1202
आकर	आ							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1208
हड़प	हडप					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1211
दे	दे				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1219
हैं	है					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1232
होगा	हो				M	S		participle	low	VM	wrong_lemma	1	होग	file-andhe_ki_lathi-1507111038.dat	1258
कर	कर							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1264
रह	रह					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1266
लगा	लगा					P		participle	low	VM	wrong_lemma	1	लग	file-andhe_ki_lathi-1507111038.dat	1273
लिखकर	लिख							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1285
आ	आ					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1286
करेंगी	कर				F	P		finite	medium	VM	wrong_features	2	कर|करेंग	file-andhe_ki_lathi-1507111038.dat	1299
मिल	मिल					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1306
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1310
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1333
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1338
पहुंचाओगे	पहुंचा				M	S		finite	medium	VM	wrong_features	2	पहुंचा|पहुंचाओग	file-andhe_ki_lathi-1507111038.dat	1346
हैं	है					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1353
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1360
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1375
बन	बन				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1380
कर	कर					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1387
मिल	मिल					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1395
मिल	मिल					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1401
तरस	तरस				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1405
कह	कह				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1412
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1419
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1423
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1429
खा	खा					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1433
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1440
आयेगें	आ				M	P		finite	low	VM	wrong_lemma	1	आयेग	file-andhe_ki_lathi-1507111038.dat	1448
आकर	आ							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1464
मरवाने	मर					S		participle	low	VM	wrong_lemma	2	मरवा|मरवान	file-andhe_ki_lathi-1507111038.dat	1471
बनवा	बना					S		participle	low	VM	wrong_lemma	1	बनव	file-andhe_ki_lathi-1507111038.dat	1473
बिठा	बिठा					S		participle	low	VM	wrong_lemma	1	बिठ	file-andhe_ki_lathi-1507111038.dat	1478
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1493
चाहिये	चाहिये							finite	medium	VM	wrong_lemma	3	चाह|चाहि|चाहिय	file-andhe_ki_lathi-1507111038.dat	1512
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1517
देकर	दे							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1522
करो	कर					S		finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	1524
सुनते	सुन				M	S		participle	low	VM	wrong_features	2	सुन|सुनत	file-andhe_ki_lathi-1507111038.dat	1529
उठे	उठ				M	S		participle	low	VM	wrong_features	1	उठ	file-andhe_ki_lathi-1507111038.dat	1531
लगाकर	लगा							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1535
रोते	रो				M	S		participle	low	VM	wrong_features	2	रो|रोत	file-andhe_ki_lathi-1507111038.dat	1543
तोड़	तोड				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	1558
किये	कर				M	S		irregular	high	VM	wrong_features	3	कर|कि|किय	file-andhe_ki_lathi-1507111038.dat	1566
देगें	दे				M	P		finite	low	VM	wrong_lemma	1	देग	file-andhe_ki_lathi-1507111038.dat	1571
करो	कर					S		finite	low	VM	wrong_features	1	कर	file-andhe_ki_lathi-1507111038.dat	1583
होने	हो				F	S		participle	low	VM	wrong_features	2	हो|होन	file-doli_banaam_arthi.dat	3
थी	था				F	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	8
था	था				M	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	20
बन	बन				M	P		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	32
थे	था				M	P		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	56
ढक	ढक					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	62
खाये	खा				F	S		finite	low	VM	wrong_features	2	खा|खाय	file-doli_banaam_arthi.dat	73
पड़ी	पड				F	S		participle	low	VM	wrong_lemma	1	पड़	file-doli_banaam_arthi.dat	89
बजाते	बजा				M	S		participle	low	VM	wrong_features	2	बजा|बजात	file-doli_banaam_arthi.dat	95
आ	आ					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	96
देखकर	देख							unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	106
है	है					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	112
आ	आ					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	116
आ	आ					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	122
देख	देख				F	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	126
उड़कर	उड							unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	131
बजा	बजा				M	S		participle	low	VM	wrong_lemma	1	बज	file-doli_banaam_arthi.dat	144
सुन	सुन				F	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	148
कह	कह				F	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	150
आ	आ					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	152
है	है					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	156
है	है					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	161
छोड़ो	छोड					S		finite	low	VM	wrong_lemma	1	छोड़	file-doli_banaam_arthi.dat	166
समझो	समझ					S		finite	low	VM	wrong_features	1	समझ	file-doli_banaam_arthi.dat	175
हो	हो					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	177
हो	हो					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	186
होकर	हो							unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	198
फेंक	फेंक				M	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	202
है	है					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	207
निभा	निभा				M	S		participle	low	VM	wrong_lemma	1	निभ	file-doli_banaam_arthi.dat	215
कर	कर				M	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	231
छू	छू					P		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	238
छलक	छलक					P		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	244
थी	था				F	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	249
हो	हो					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	256
हो	हो					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	268
लाओ	ला					S		finite	low	VM	wrong_features	1	ला	file-doli_banaam_arthi.dat	280
चढ़ाकर	चढा							unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	295
खाकर	खा							unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	301
लो	ले					S		irregular	high	VM	wrong_features	1	ले	file-doli_banaam_arthi.dat	312
पिओ	पी					S		finite	low	VM	wrong_lemma	1	पि	file-doli_banaam_arthi.dat	314
कर	कर				F	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	319
देख	देख				M	S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	333
है	है					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	341
है	है					S		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	345
हैं	है					P		unknown	none	VM	no_analysis	0		file-doli_banaam_arthi.dat	348
पढ़ा	पढ				M	S		participle	low	VM	wrong_lemma	1	पढ़	file-doli_banaam_arthi.dat	353
